GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Offers API,com.worldpay.techchallenge.offersapi.exception,ProductNotFoundException,4,0,0,0,2,0,1,0,1,0
Offers API,com.worldpay.techchallenge.offersapi.exception,RestResponseEntityExceptionHandler,29,0,0,0,5,0,3,0,3,0
Offers API,com.worldpay.techchallenge.offersapi.model,Product,10,42,0,0,5,15,3,6,3,6
Offers API,com.worldpay.techchallenge.offersapi.model,Offer,32,30,0,0,15,11,9,4,9,4
Offers API,com.worldpay.techchallenge.offersapi.util,OffersUtil,3,76,0,0,1,13,1,4,1,4
Offers API,com.worldpay.techchallenge.offersapi.util,CurrencyHelper,3,14,0,0,2,3,1,1,1,1
Offers API,com.worldpay.techchallenge.offersapi.service,OfferService,24,0,0,0,5,0,3,0,3,0
Offers API,com.worldpay.techchallenge.offersapi.service,ProductService,24,0,0,0,5,0,3,0,3,0
Offers API,com.worldpay.techchallenge.offersapi,Main,5,3,0,0,2,1,1,1,1,1
Offers API,com.worldpay.techchallenge.offersapi.controller,ProductCatlogController,90,0,4,0,19,0,6,0,4,0
